main.py --acq ucb --measured_states
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -69.41    |  0.917    |  1.22     |
|  2        | -6.294e+0 |  0.5001   |  0.8023   |
|  3        | -6.171e+0 |  0.6468   |  0.5923   |
|  4        | -4.718e+0 |  0.6863   |  0.8456   |
|  5        | -884.0    |  0.8968   |  1.039    |
|  6        | -325.2    |  1.474    |  1.213    |
|  7        | -6.082e+0 |  1.5      |  0.5348   |
|  8        | -435.0    |  0.6493   |  1.129    |
|  9        | -40.76    |  0.8997   |  1.21     |
|  10       | -525.6    |  0.5      |  1.5      |
|  11       | -596.8    |  1.5      |  1.5      |
|  12       | -2.381e+0 |  0.8405   |  1.5      |
|  13       | -256.9    |  1.259    |  1.319    |
|  14       | -216.3    |  0.5      |  1.292    |
|  15       | -3.934e+0 |  0.6484   |  0.9067   |
|  16       | -84.93    |  1.222    |  1.094    |
|  17       | -309.7    |  0.6645   |  1.295    |
|  18       | -96.65    |  1.117    |  1.179    |
|  19       | -416.4    |  0.6479   |  1.131    |
|  20       | -161.8    |  1.315    |  1.191    |
|  21       | -1.475e+0 |  1.498    |  1.015    |
|  22       | -483.3    |  1.308    |  1.496    |
|  23       | -1.336e+0 |  1.413    |  1.36     |
|  24       | -2.487e+0 |  1.132    |  1.5      |
|  25       | -47.04    |  1.137    |  0.8862   |
|  26       | -6.434e+0 |  1.063    |  0.5      |
|  27       | -28.09    |  1.09     |  1.006    |
|  28       | -68.61    |  1.252    |  0.9312   |
|  29       | -41.71    |  0.9614   |  0.988    |
|  30       | -90.06    |  1.002    |  0.8764   |
|  31       | -467.5    |  0.5002   |  1.156    |
|  32       | -242.9    |  0.8061   |  1.273    |
|  33       | -75.36    |  1.345    |  1.056    |
|  34       | -39.55    |  1.04     |  0.9372   |
|  35       | -35.44    |  1.015    |  1.111    |
|  36       | -139.4    |  0.62     |  1.489    |
|  37       | -1.349e+0 |  0.5706   |  1.401    |
|  38       | -22.05    |  0.7349   |  1.198    |
|  39       | -641.0    |  1.041    |  0.9363   |
|  40       | -1.152e+0 |  0.9322   |  1.365    |
|  41       | -631.2    |  1.033    |  0.9445   |
|  42       | -38.07    |  0.9099   |  1.207    |
|  43       | -51.62    |  0.9268   |  1.21     |
|  44       | -24.96    |  0.9174   |  1.195    |
|  45       | -433.2    |  0.6485   |  1.129    |
|  46       | -150.7    |  1.314    |  1.191    |
|  47       | -29.12    |  0.9336   |  1.196    |
|  48       | -85.95    |  0.8985   |  1.228    |
|  49       | -142.9    |  0.6587   |  1.17     |
|  50       | -2.511e+0 |  0.7926   |  1.498    |
|  51       | -52.03    |  0.8848   |  1.218    |
|  52       | -20.86    |  0.8935   |  1.195    |
|  53       | -23.5     |  0.8781   |  1.202    |
|  54       | -378.9    |  1.174    |  1.464    |
|  55       | -18.78    |  0.8805   |  1.184    |
=================================================
