main.py --acq ucb --measured_states 0 1 3 4 5
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -15.0     |  0.917    |  1.22     |
|  2        | -51.02    |  0.5001   |  0.8023   |
|  3        | -13.6     |  0.6468   |  0.5923   |
|  4        | -118.4    |  0.6863   |  0.8456   |
|  5        | -508.2    |  0.8968   |  1.039    |
|  6        | -13.17    |  0.6088   |  0.8689   |
|  7        | -335.1    |  0.6017   |  0.8545   |
|  8        | -14.64    |  0.6493   |  1.129    |
|  9        | -15.99    |  0.5861   |  1.259    |
|  10       | -13.13    |  0.8956   |  0.6615   |
|  11       | -14.42    |  1.388    |  0.9472   |
|  12       | -13.05    |  0.9323   |  0.852    |
|  13       | -13.19    |  1.11     |  0.8929   |
|  14       | -16.89    |  1.053    |  1.202    |
|  15       | -13.14    |  0.6484   |  0.9067   |
|  16       | -13.48    |  0.5668   |  1.034    |
|  17       | -12.84    |  0.8392   |  0.7749   |
|  18       | -15.04    |  0.6909   |  1.173    |
|  19       | -14.37    |  1.41     |  0.9161   |
|  20       | -15.07    |  0.6681   |  1.184    |
|  21       | -13.84    |  1.217    |  0.8999   |
|  22       | -15.17    |  0.5797   |  1.127    |
|  23       | -12.76    |  0.511    |  0.8749   |
|  24       | -16.92    |  0.7195   |  1.333    |
|  25       | -16.59    |  1.01     |  1.279    |
|  26       | -13.75    |  1.344    |  1.11     |
|  27       | -13.9     |  1.292    |  1.269    |
|  28       | -13.07    |  0.5103   |  0.865    |
|  29       | -13.82    |  0.9614   |  0.988    |
|  30       | -13.14    |  0.5216   |  0.8649   |
|  31       | -12.67    |  0.8143   |  0.7145   |
|  32       | -12.61    |  0.6093   |  0.8812   |
|  33       | -14.49    |  1.395    |  0.9301   |
|  34       | -12.56    |  0.6242   |  0.8747   |
|  35       | -14.12    |  1.239    |  0.7981   |
|  36       | -15.82    |  1.166    |  1.446    |
|  37       | -16.09    |  0.7224   |  1.381    |
|  38       | -27.78    |  0.6745   |  1.163    |
|  39       | -14.62    |  1.395    |  0.9704   |
|  40       | -15.81    |  0.9322   |  1.365    |
|  41       | -12.32    |  0.5279   |  0.6382   |
|  42       | -14.33    |  1.405    |  0.9528   |
|  43       | -14.36    |  1.394    |  0.9287   |
|  44       | -15.16    |  0.6907   |  1.201    |
|  45       | -14.77    |  0.6485   |  1.129    |
|  46       | -14.86    |  1.396    |  0.9694   |
|  47       | -12.82    |  0.8219   |  0.7493   |
|  48       | -12.77    |  0.85     |  0.7396   |
|  49       | -15.06    |  0.6587   |  1.17     |
|  50       | -17.11    |  0.7926   |  1.498    |
|  51       | -12.83    |  0.8474   |  0.7106   |
|  52       | -13.2     |  0.8725   |  0.6875   |
|  53       | -13.42    |  0.8647   |  0.656    |
|  54       | -15.94    |  1.174    |  1.464    |
|  55       | -13.24    |  0.8436   |  0.6804   |
=================================================
