main.py --acq ei --acq_kappa 0 --measured_states
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -1.752e+0 |  0.917    |  1.22     |
|  2        | -3.546e+0 |  0.5001   |  0.8023   |
|  3        | -4.893e+0 |  0.6468   |  0.5923   |
|  4        | -1.69e+03 |  0.6863   |  0.8456   |
|  5        | -339.4    |  0.8968   |  1.039    |
|  6        | -172.9    |  0.8002   |  0.9997   |
|  7        | -112.7    |  0.9278   |  0.9075   |
|  8        | -490.9    |  0.6493   |  1.129    |
|  9        | -144.9    |  1.286    |  0.8282   |
|  10       | -156.4    |  1.5      |  0.5941   |
|  11       | -1.005e+0 |  1.5      |  0.8507   |
|  12       | -565.2    |  1.286    |  0.6038   |
|  13       | -72.11    |  1.123    |  0.8823   |
|  14       | -2.669e+0 |  0.5      |  1.5      |
|  15       | -1.318e+0 |  0.6484   |  0.9067   |
|  16       | -126.0    |  0.922    |  0.9052   |
|  17       | -1.009e+0 |  1.5      |  0.5      |
|  18       | -73.12    |  1.448    |  0.6774   |
|  19       | -32.8     |  1.185    |  0.7814   |
|  20       | -2.665e+0 |  1.5      |  1.5      |
|  21       | -106.0    |  1.497    |  0.6694   |
|  22       | -327.8    |  1.288    |  0.7425   |
|  23       | -386.4    |  1.184    |  0.833    |
|  24       | -2.146e+0 |  0.7195   |  1.333    |
|  25       | -108.3    |  1.498    |  0.6701   |
|  26       | -455.2    |  1.088    |  0.7306   |
|  27       | -542.2    |  1.062    |  0.945    |
|  28       | -48.4     |  1.066    |  0.8439   |
|  29       | -207.9    |  0.9614   |  0.988    |
|  30       | -145.0    |  1.181    |  0.7381   |
|  31       | -1.739e+0 |  1.348    |  1.053    |
|  32       | -110.2    |  0.8997   |  0.9638   |
|  33       | -25.76    |  1.103    |  0.8435   |
|  34       | -2.625e+0 |  1.098    |  1.5      |
|  35       | -620.8    |  1.429    |  0.6074   |
|  36       | -186.2    |  1.383    |  0.7857   |
|  37       | -2.293e+0 |  1.151    |  0.5005   |
|  38       | -521.5    |  0.5      |  1.127    |
|  39       | -252.1    |  0.7112   |  1.039    |
|  40       | -68.44    |  1.149    |  0.7815   |
|  41       | -37.57    |  1.094    |  0.8733   |
|  42       | -95.53    |  1.423    |  0.7245   |
|  43       | -340.0    |  0.9733   |  0.8176   |
|  44       | -474.1    |  0.5807   |  1.057    |
|  45       | -421.2    |  1.345    |  0.8603   |
|  46       | -36.33    |  1.207    |  0.7685   |
|  47       | -348.1    |  0.7739   |  1.076    |
|  48       | -50.22    |  1.185    |  0.7704   |
|  49       | -2.6e+03  |  1.499    |  1.202    |
|  50       | -2.629e+0 |  0.7926   |  1.498    |
|  51       | -16.84    |  1.231    |  0.7845   |
|  52       | -1.036e+0 |  0.5      |  1.245    |
|  53       | -1.92e+03 |  1.143    |  1.149    |
|  54       | -312.3    |  0.8104   |  0.927    |
|  55       | -478.5    |  1.459    |  0.7117   |
=================================================
