main.py --acq ei --acq_kappa 0 --measured_states 0 1 2 3 4 --num_reference 10
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -662.5    |  0.917    |  1.22     |
|  2        | -552.1    |  0.5001   |  0.8023   |
|  3        | -404.1    |  0.6468   |  0.5923   |
|  4        | -505.3    |  0.6863   |  0.8456   |
|  5        | -373.8    |  0.8968   |  1.039    |
|  6        | -616.2    |  0.6088   |  0.8689   |
|  7        | -216.6    |  1.33     |  1.16     |
|  8        | -658.6    |  0.6493   |  1.129    |
|  9        | -225.8    |  1.366    |  1.137    |
|  10       | -367.8    |  1.269    |  1.058    |
|  11       | -257.3    |  1.382    |  1.228    |
|  12       | -1.126e+0 |  0.9533   |  0.8429   |
|  13       | -489.9    |  1.268    |  1.259    |
|  14       | -352.2    |  1.053    |  1.202    |
|  15       | -112.0    |  0.6484   |  0.9067   |
|  16       | -124.1    |  0.6579   |  0.9208   |
|  17       | -264.1    |  0.6571   |  0.9217   |
|  18       | -223.5    |  1.364    |  1.138    |
|  19       | -349.9    |  0.6625   |  0.9211   |
|  20       | -723.3    |  0.6681   |  1.184    |
|  21       | -393.0    |  0.6595   |  0.9194   |
|  22       | -315.2    |  1.382    |  1.227    |
|  23       | -241.9    |  1.331    |  1.158    |
|  24       | -829.5    |  0.7195   |  1.333    |
|  25       | -439.2    |  0.6512   |  0.9076   |
|  26       | -102.6    |  1.365    |  1.138    |
|  27       | -255.4    |  0.6588   |  0.9187   |
|  28       | -350.5    |  0.5103   |  0.865    |
|  29       | -343.0    |  0.9614   |  0.988    |
|  30       | -884.3    |  0.9944   |  0.5913   |
|  31       | -491.1    |  0.8143   |  0.7145   |
|  32       | -168.6    |  1.328    |  1.162    |
|  33       | -364.7    |  1.331    |  1.165    |
|  34       | -239.7    |  1.368    |  1.138    |
|  35       | -444.0    |  0.6574   |  0.9176   |
|  36       | -358.4    |  1.166    |  1.446    |
|  37       | -269.3    |  0.6466   |  0.9089   |
|  38       | -104.5    |  0.6623   |  0.9241   |
|  39       | -226.4    |  1.329    |  1.16     |
|  40       | -798.0    |  0.9322   |  1.365    |
|  41       | -261.9    |  0.6626   |  0.9239   |
|  42       | -494.4    |  0.6581   |  0.9205   |
|  43       | -275.0    |  1.382    |  1.34     |
|  44       | -450.8    |  1.111    |  1.309    |
|  45       | -122.4    |  1.328    |  1.162    |
|  46       | -263.7    |  0.6582   |  0.9223   |
|  47       | -115.8    |  0.6467   |  0.9058   |
|  48       | -190.7    |  0.5095   |  0.8639   |
|  49       | -431.8    |  0.6587   |  1.17     |
|  50       | -432.5    |  0.7926   |  1.498    |
|  51       | -370.0    |  1.458    |  0.9      |
|  52       | -498.8    |  0.6313   |  1.364    |
|  53       | -541.8    |  0.6496   |  0.9069   |
|  54       | -341.2    |  1.174    |  1.464    |
|  55       | -453.8    |  0.51     |  0.8635   |
=================================================
