main.py --acq poi --acq_xi 0 --measured_states --gp_alpha 1.0
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -1.752e+0 |  0.917    |  1.22     |
|  2        | -3.546e+0 |  0.5001   |  0.8023   |
|  3        | -4.893e+0 |  0.6468   |  0.5923   |
|  4        | -1.69e+03 |  0.6863   |  0.8456   |
|  5        | -339.4    |  0.8968   |  1.039    |
|  6        | -473.6    |  1.059    |  1.002    |
|  7        | -987.7    |  1.173    |  1.027    |
|  8        | -2.171e+0 |  1.292    |  1.13     |
|  9        | -104.9    |  1.042    |  0.9279   |
|  10       | -29.68    |  1.125    |  0.831    |
|  11       | -36.57    |  1.192    |  0.7753   |
|  12       | -51.43    |  1.23     |  0.7469   |
|  13       | -66.45    |  1.257    |  0.7259   |
|  14       | -81.25    |  1.278    |  0.7093   |
|  15       | -98.06    |  1.295    |  0.6956   |
|  16       | -119.6    |  1.318    |  0.6757   |
|  17       | -122.5    |  1.323    |  0.6739   |
|  18       | -134.4    |  1.335    |  0.6637   |
|  19       | -150.3    |  1.346    |  0.6534   |
|  20       | -572.9    |  1.359    |  0.6423   |
|  21       | -73.59    |  1.247    |  0.7276   |
|  22       | -80.45    |  1.247    |  0.7249   |
|  23       | -90.22    |  1.246    |  0.7218   |
|  24       | -166.2    |  1.245    |  0.718    |
|  25       | -125.7    |  1.244    |  0.7104   |
|  26       | -837.2    |  1.304    |  0.6      |
|  27       | -21.35    |  1.262    |  0.7765   |
|  28       | -30.65    |  1.278    |  0.7781   |
|  29       | -36.87    |  1.29     |  0.7771   |
|  30       | -47.61    |  1.303    |  0.7755   |
|  31       | -55.22    |  1.316    |  0.7734   |
|  32       | -65.46    |  1.331    |  0.7705   |
|  33       | -77.64    |  1.347    |  0.7668   |
|  34       | -92.35    |  1.366    |  0.7618   |
|  35       | -114.7    |  1.394    |  0.7536   |
|  36       | -181.2    |  1.475    |  0.7261   |
|  37       | -74.84    |  1.343    |  0.7701   |
|  38       | -189.7    |  1.5      |  0.7122   |
|  40       | -67.84    |  1.333    |  0.7706   |
|  41       | -68.06    |  1.333    |  0.7707   |
|  42       | -67.49    |  1.332    |  0.7709   |
|  43       | -66.56    |  1.33     |  0.7713   |
|  44       | -525.0    |  1.5      |  0.7148   |
|  45       | -26.29    |  1.271    |  0.7776   |
|  46       | -25.27    |  1.27     |  0.7775   |
|  47       | -24.95    |  1.269    |  0.7775   |
|  48       | -24.28    |  1.27     |  0.7749   |
|  49       | -24.55    |  1.267    |  0.7774   |
|  50       | -24.05    |  1.267    |  0.7773   |
|  51       | -23.11    |  1.266    |  0.7773   |
|  52       | -23.35    |  1.265    |  0.7773   |
|  53       | -23.36    |  1.265    |  0.7772   |
|  54       | -22.75    |  1.264    |  0.7772   |
|  55       | -21.25    |  1.263    |  0.7772   |
=================================================
