main.py --acq ucb --acq_kappa 0 --measured_states --gp_alpha 1.0  |   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -1.752e+0 |  0.917    |  1.22     |
|  2        | -3.546e+0 |  0.5001   |  0.8023   |
|  3        | -4.893e+0 |  0.6468   |  0.5923   |
|  4        | -1.69e+03 |  0.6863   |  0.8456   |
|  5        | -339.4    |  0.8968   |  1.039    |
|  6        | -757.3    |  0.9059   |  1.058    |
|  7        | -450.4    |  0.9161   |  1.052    |
|  8        | -434.3    |  0.9279   |  1.045    |
|  9        | -1.15e+03 |  0.9404   |  1.04     |
|  10       | -629.9    |  0.9388   |  1.043    |
|  11       | -443.5    |  0.9469   |  1.04     |
|  12       | -449.3    |  0.96     |  1.036    |
|  13       | -461.9    |  0.9751   |  1.033    |
|  14       | -483.4    |  0.9915   |  1.03     |
|  15       | -510.8    |  1.008    |  1.028    |
|  16       | -542.3    |  1.022    |  1.027    |
|  17       | -573.3    |  1.034    |  1.027    |
|  18       | -601.3    |  1.043    |  1.028    |
|  19       | -621.1    |  1.048    |  1.028    |
|  20       | -629.6    |  1.051    |  1.029    |
|  21       | -635.6    |  1.053    |  1.029    |
|  22       | -639.3    |  1.053    |  1.029    |
|  23       | -639.4    |  1.053    |  1.029    |
|  24       | -637.7    |  1.053    |  1.029    |
|  25       | -996.7    |  1.053    |  1.029    |
|  26       | -594.3    |  1.035    |  1.03     |
|  27       | -591.8    |  1.036    |  1.029    |
|  28       | -590.7    |  1.037    |  1.029    |
|  29       | -589.1    |  1.038    |  1.028    |
|  30       | -588.2    |  1.04     |  1.027    |
|  31       | -586.9    |  1.041    |  1.027    |
|  32       | -585.2    |  1.042    |  1.026    |
|  33       | -583.0    |  1.043    |  1.025    |
|  34       | -582.5    |  1.044    |  1.025    |
|  35       | -580.3    |  1.045    |  1.024    |
|  36       | -579.8    |  1.046    |  1.023    |
|  37       | -898.8    |  1.047    |  1.023    |
|  38       | -565.1    |  1.038    |  1.024    |
|  40       | -560.6    |  1.04     |  1.023    |
|  41       | -560.6    |  1.041    |  1.022    |
|  42       | -557.4    |  1.042    |  1.022    |
|  43       | -555.5    |  1.044    |  1.021    |
|  44       | -553.6    |  1.045    |  1.02     |
|  45       | -551.8    |  1.046    |  1.019    |
|  46       | -550.3    |  1.048    |  1.018    |
|  47       | -549.0    |  1.049    |  1.018    |
|  48       | -547.5    |  1.051    |  1.017    |
|  49       | -546.6    |  1.053    |  1.016    |
|  50       | -546.0    |  1.055    |  1.015    |
|  51       | -544.4    |  1.057    |  1.014    |
|  52       | -1.173e+0 |  1.059    |  1.013    |
|  53       | -987.9    |  1.037    |  1.021    |
|  54       | -542.4    |  1.034    |  1.023    |
|  55       | -539.8    |  1.034    |  1.022    |
=================================================
