main.py --acq poi --acq_xi 0.01 --measured_states --gp_alpha 1.0
|   iter    |  target   |    lf     |    lr     |     -------------------------------------------------
|  1        | -1.752e+0 |  0.917    |  1.22     |
|  2        | -3.546e+0 |  0.5001   |  0.8023   |
|  3        | -4.893e+0 |  0.6468   |  0.5923   |
|  4        | -1.69e+03 |  0.6863   |  0.8456   |
|  5        | -339.4    |  0.8968   |  1.039    |
|  6        | -473.7    |  1.059    |  1.002    |
|  7        | -986.6    |  1.173    |  1.027    |
|  8        | -2.019e+0 |  1.292    |  1.13     |
|  9        | -69.42    |  1.085    |  0.8967   |
|  10       | -20.92    |  1.205    |  0.7826   |
|  11       | -39.84    |  1.282    |  0.7298   |
|  12       | -56.3     |  1.326    |  0.702    |
|  13       | -70.42    |  1.356    |  0.682    |
|  14       | -83.18    |  1.379    |  0.6663   |
|  15       | -95.18    |  1.398    |  0.6534   |
|  16       | -507.9    |  1.412    |  0.6475   |
|  17       | -226.1    |  1.42     |  0.6004   |
|  18       | -105.7    |  1.5      |  0.6291   |
|  19       | -742.0    |  1.5      |  0.561    |
|  20       | -31.93    |  1.332    |  0.7336   |
|  21       | -360.6    |  1.334    |  0.7339   |
|  22       | -222.1    |  1.449    |  0.7562   |
|  23       | -147.7    |  1.303    |  0.6746   |
|  24       | -312.8    |  1.5      |  0.7492   |
|  25       | -360.8    |  1.316    |  0.6218   |
|  26       | -326.6    |  1.5      |  0.7525   |
|  27       | -1.009e+0 |  1.5      |  0.5      |
|  28       | -359.6    |  1.312    |  0.7684   |
|  29       | -30.23    |  1.304    |  0.7596   |
|  30       | -27.2     |  1.3      |  0.757    |
|  31       | -388.0    |  1.295    |  0.7541   |
|  32       | -163.6    |  1.372    |  0.7859   |
|  33       | -48.5     |  1.273    |  0.7281   |
|  35       | -62.76    |  1.268    |  0.7222   |
|  36       | -70.57    |  1.266    |  0.7198   |
|  37       | -153.4    |  1.264    |  0.7175   |
|  38       | -200.8    |  1.263    |  0.7151   |
|  39       | -54.46    |  1.318    |  0.7721   |
|  40       | -75.01    |  1.262    |  0.7193   |
|  41       | -90.81    |  1.261    |  0.7139   |
|  42       | -108.8    |  1.259    |  0.709    |
|  43       | -41.55    |  1.306    |  0.7697   |
|  44       | -372.5    |  1.302    |  0.7686   |
|  45       | -253.6    |  1.259    |  0.6702   |
|  46       | -261.3    |  1.259    |  0.6696   |
|  47       | -366.2    |  1.352    |  0.7801   |
|  48       | -651.3    |  1.26     |  0.6483   |
|  49       | -207.9    |  1.387    |  0.7897   |
|  50       | -595.7    |  1.5      |  0.8074   |
|  51       | -17.5     |  1.239    |  0.7815   |
|  52       | -17.38    |  1.235    |  0.7818   |
|  53       | -17.02    |  1.234    |  0.7813   |
|  54       | -17.18    |  1.232    |  0.7808   |
|  55       | -17.11    |  1.231    |  0.7803   |
=================================================
