main.py --acq ucb --measured_states --gp_alpha 1.0
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -1.752e+0 |  0.917    |  1.22     |
|  2        | -3.546e+0 |  0.5001   |  0.8023   |
|  3        | -4.893e+0 |  0.6468   |  0.5923   |
|  4        | -1.69e+03 |  0.6863   |  0.8456   |
|  5        | -339.4    |  0.8968   |  1.039    |
|  6        | -852.7    |  1.273    |  0.9642   |
|  7        | -2.639e+0 |  1.5      |  1.449    |
|  8        | -611.2    |  1.5      |  0.603    |
|  9        | -2.669e+0 |  0.5      |  1.5      |
|  10       | -1.871e+0 |  1.265    |  0.5      |
|  11       | -1.354e+0 |  1.5      |  0.9043   |
|  12       | -1.009e+0 |  1.5      |  0.5      |
|  13       | -2.626e+0 |  1.057    |  1.5      |
|  14       | -368.9    |  1.183    |  0.864    |
|  15       | -697.5    |  1.5      |  0.825    |
|  16       | -2.109e+0 |  1.5      |  1.042    |
|  17       | -20.45    |  1.162    |  0.806    |
|  18       | -77.25    |  1.104    |  0.8925   |
|  19       | -205.6    |  1.171    |  0.7284   |
|  20       | -424.3    |  1.097    |  0.9782   |
|  21       | -360.8    |  1.234    |  0.7271   |
|  22       | -100.7    |  1.068    |  0.8174   |
|  23       | -639.8    |  1.118    |  1.002    |
|  24       | -639.8    |  1.118    |  1.002    |
|  25       | -639.8    |  1.118    |  1.002    |
|  26       | -639.8    |  1.118    |  1.002    |
|  27       | -639.8    |  1.118    |  1.002    |
|  28       | -639.8    |  1.118    |  1.002    |
|  29       | -639.8    |  1.118    |  1.002    |
|  30       | -639.8    |  1.118    |  1.002    |
|  31       | -639.8    |  1.118    |  1.002    |
|  32       | -639.8    |  1.118    |  1.002    |
|  33       | -639.8    |  1.118    |  1.002    |
|  34       | -639.8    |  1.118    |  1.002    |
|  35       | -639.8    |  1.118    |  1.002    |
|  36       | -639.8    |  1.118    |  1.002    |
|  37       | -639.8    |  1.118    |  1.002    |
|  38       | -639.8    |  1.118    |  1.002    |
|  40       | -639.8    |  1.118    |  1.002    |
|  41       | -563.8    |  1.499    |  0.5004   |
|  42       | -2.69e+03 |  1.128    |  0.5      |
|  43       | -91.99    |  1.311    |  0.7952   |
|  44       | -195.3    |  1.5      |  0.7145   |
|  45       | -117.7    |  1.292    |  0.8161   |
|  46       | -618.2    |  1.178    |  0.9732   |
|  47       | -167.8    |  1.5      |  0.7037   |
|  48       | -65.69    |  1.321    |  0.7765   |
|  49       | -480.3    |  1.499    |  0.6823   |
|  50       | -85.3     |  1.288    |  0.806    |
|  51       | -90.17    |  1.283    |  0.8106   |
|  52       | -35.89    |  1.081    |  0.8755   |
|  53       | -36.35    |  1.072    |  0.8774   |
|  54       | -171.0    |  1.236    |  0.8615   |
|  55       | -52.76    |  1.044    |  0.9006   |
=================================================
