main.py --acq ei --acq_xi 0.01 --measured_states --gp_alpha 1.0
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -1.752e+0 |  0.917    |  1.22     |
|  2        | -3.546e+0 |  0.5001   |  0.8023   |
|  3        | -4.893e+0 |  0.6468   |  0.5923   |
|  4        | -1.69e+03 |  0.6863   |  0.8456   |
|  5        | -339.4    |  0.8968   |  1.039    |
|  6        | -612.7    |  1.156    |  0.9821   |
|  7        | -2.397e+0 |  1.422    |  1.142    |
|  8        | -69.55    |  1.276    |  0.7156   |
|  9        | -774.9    |  1.489    |  0.5359   |
|  10       | -1.742e+0 |  1.286    |  0.5011   |
|  11       | -2.669e+0 |  0.5      |  1.5      |
|  12       | -425.3    |  1.5      |  0.7747   |
|  13       | -420.8    |  1.5      |  0.7738   |
|  14       | -2.665e+0 |  1.5      |  1.5      |
|  15       | -465.0    |  1.499    |  0.7013   |
|  16       | -1.009e+0 |  1.5      |  0.5      |
|  17       | -367.4    |  1.263    |  0.8253   |
|  18       | -735.9    |  1.5      |  0.801    |
|  19       | -325.1    |  1.24     |  0.8204   |
|  20       | -59.63    |  1.243    |  0.8188   |
|  21       | -48.7     |  1.234    |  0.8178   |
|  22       | -35.6     |  1.218    |  0.8182   |
|  23       | -26.99    |  1.194    |  0.8233   |
|  24       | -25.88    |  1.177    |  0.8307   |
|  25       | -87.8     |  1.291    |  0.8053   |
|  26       | -37.96    |  1.158    |  0.8482   |
|  27       | -56.75    |  1.205    |  0.7561   |
|  28       | -78.52    |  1.158    |  0.8699   |
|  29       | -128.6    |  1.291    |  0.8201   |
|  31       | -76.86    |  1.153    |  0.8714   |
|  32       | -60.29    |  1.21     |  0.7521   |
|  33       | -144.7    |  1.285    |  0.8286   |
|  34       | -45.63    |  1.146    |  0.8594   |
|  35       | -82.46    |  1.182    |  0.7603   |
|  36       | -85.51    |  1.155    |  0.8736   |
|  37       | -290.7    |  1.276    |  0.8165   |
|  38       | -73.76    |  1.157    |  0.7751   |
|  40       | -62.46    |  1.238    |  0.7377   |
|  41       | -391.1    |  1.248    |  0.745    |
|  42       | -237.3    |  1.26     |  0.8661   |
|  43       | -77.72    |  1.145    |  0.7804   |
|  44       | -51.18    |  1.134    |  0.8678   |
|  45       | -98.82    |  1.158    |  0.7648   |
|  46       | -74.77    |  1.142    |  0.8753   |
|  47       | -85.47    |  1.161    |  0.7683   |
|  48       | -85.75    |  1.151    |  0.8759   |
|  49       | -130.3    |  1.248    |  0.8438   |
|  50       | -80.13    |  1.162    |  0.7696   |
|  51       | -31.14    |  1.132    |  0.8545   |
|  52       | -382.6    |  1.164    |  0.7739   |
|  53       | -484.6    |  1.226    |  0.87     |
|  54       | -26.67    |  1.259    |  0.7515   |
|  55       | -26.2     |  1.258    |  0.7531   |
=================================================
