main.py --acq ucb --measured_states 0 1
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -19.0     |  0.917    |  1.22     |
|  2        | -3.141e+0 |  0.5001   |  0.8023   |
|  3        | -2.193e+0 |  0.6468   |  0.5923   |
|  4        | -5.39e+03 |  0.6863   |  0.8456   |
|  5        | -6.59e+03 |  0.8968   |  1.039    |
|  6        | -891.6    |  0.6088   |  0.8689   |
|  7        | -16.51    |  1.33     |  1.16     |
|  8        | -41.54    |  0.6493   |  1.129    |
|  9        | -22.84    |  0.5861   |  1.259    |
|  10       | -2.707e+0 |  0.8956   |  0.6615   |
|  11       | -892.3    |  1.388    |  0.9472   |
|  12       | -1.292e+0 |  0.9323   |  0.852    |
|  13       | -20.5     |  1.341    |  1.186    |
|  14       | -18.13    |  1.053    |  1.202    |
|  15       | -218.5    |  0.6484   |  0.9067   |
|  16       | -1.683e+0 |  0.8715   |  0.5048   |
|  17       | -22.04    |  0.5841   |  1.255    |
|  18       | -38.9     |  1.188    |  1.42     |
|  19       | -31.58    |  0.9447   |  1.489    |
|  20       | -1.36e+03 |  1.439    |  1.468    |
|  21       | -286.5    |  0.7091   |  1.5      |
|  22       | -2.862e+0 |  1.5      |  0.714    |
|  23       | -23.32    |  0.5      |  1.5      |
|  24       | -466.3    |  0.7195   |  1.333    |
|  25       | -1.863e+0 |  0.8707   |  0.5058   |
|  26       | -3.015e+0 |  1.075    |  0.5      |
|  27       | -15.13    |  1.5      |  1.118    |
|  28       | -3.22e+05 |  0.5      |  0.5      |
|  29       | -3.135e+0 |  0.9614   |  0.988    |
|  30       | -2.168e+0 |  0.7428   |  0.6749   |
|  31       | -32.9     |  1.031    |  1.357    |
|  32       | -39.11    |  1.206    |  1.264    |
|  33       | -49.04    |  0.8647   |  1.376    |
|  34       | -116.5    |  1.498    |  1.303    |
|  35       | -57.1     |  1.333    |  1.36     |
|  36       | -1.617e+0 |  0.5      |  1.028    |
|  37       | -30.76    |  1.176    |  1.057    |
|  38       | -311.1    |  1.335    |  0.7829   |
|  39       | -20.61    |  1.342    |  1.186    |
|  40       | -2.461e+0 |  1.5      |  0.5184   |
|  41       | -21.48    |  1.5      |  0.8557   |
|  42       | -1.694e+0 |  1.216    |  0.8956   |
|  43       | -15.56    |  0.7825   |  1.173    |
|  44       | -124.9    |  1.298    |  1.5      |
|  45       | -28.01    |  0.5059   |  1.369    |
|  46       | -28.88    |  0.8433   |  1.139    |
|  47       | -253.4    |  1.073    |  1.499    |
|  48       | -5.883e+0 |  0.7499   |  1.018    |
|  49       | -27.53    |  0.6095   |  1.428    |
|  50       | -248.1    |  0.7926   |  1.498    |
|  51       | -2.645e+0 |  0.7213   |  0.5021   |
|  52       | -2.275e+0 |  0.5756   |  0.6834   |
|  53       | -4.936e+0 |  0.5011   |  0.9056   |
|  54       | -202.3    |  1.174    |  1.464    |
|  55       | -421.0    |  1.497    |  0.9978   |
=================================================
