|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -55.23    |  0.917    |  1.22     |
|  2        | -3.648e+0 |  0.5001   |  0.8023   |
|  3        | -4.117e+0 |  0.6468   |  0.5923   |
|  4        | -2.075e+0 |  0.6863   |  0.8456   |
|  5        | -81.39    |  0.8968   |  1.039    |
|  6        | -351.2    |  1.476    |  1.094    |
|  7        | -1.047e+0 |  1.5      |  0.5      |
|  8        | -138.6    |  0.6493   |  1.129    |
|  9        | -28.81    |  0.8938   |  1.224    |
|  10       | -109.2    |  0.5      |  1.5      |
|  11       | -701.4    |  1.5      |  1.5      |
|  12       | -599.9    |  1.158    |  1.5      |
|  13       | -348.2    |  1.228    |  0.8925   |
|  14       | -135.5    |  1.282    |  1.244    |
|  15       | -1.17e+05 |  0.6484   |  0.9067   |
|  16       | -597.0    |  0.7849   |  1.499    |
|  17       | -185.7    |  1.495    |  0.8252   |
|  18       | -1.795e+0 |  1.163    |  0.5      |
|  19       | -342.4    |  0.6479   |  1.131    |
|  20       | -240.4    |  1.162    |  1.073    |
|  21       | -493.8    |  1.5      |  1.308    |
|  22       | -16.27    |  0.5      |  1.316    |
|  23       | -676.7    |  1.334    |  1.5      |
|  24       | -284.9    |  1.364    |  0.9675   |
|  25       | -825.8    |  0.9643   |  1.5      |
|  26       | -70.94    |  0.6521   |  1.38     |
|  27       | -190.3    |  1.109    |  1.34     |
|  28       | -2.32e+03 |  1.358    |  0.7683   |
|  29       | -350.7    |  0.9614   |  0.988    |
|  30       | -412.6    |  0.8814   |  1.383    |
|  31       | -553.0    |  1.361    |  1.373    |
|  32       | -27.65    |  1.5      |  0.9587   |
|  33       | -287.2    |  1.026    |  1.077    |
|  34       | -9.095e+0 |  0.5023   |  1.12     |
|  35       | -195.1    |  0.6294   |  1.499    |
|  36       | -86.09    |  1.095    |  0.9504   |
|  37       | -133.3    |  1.397    |  1.207    |
|  38       | -3.596e+0 |  1.391    |  0.8587   |
|  39       | -25.82    |  1.363    |  0.9675   |
|  40       | -28.0     |  1.297    |  1.09     |
|  41       | -745.6    |  1.231    |  1.397    |
|  42       | -177.2    |  0.7601   |  1.063    |
|  43       | -26.38    |  1.237    |  0.9876   |
|  44       | -346.5    |  1.126    |  1.213    |
|  45       | -92.19    |  0.7601   |  1.313    |
|  46       | -1.923e+0 |  1.499    |  0.725    |
|  47       | -57.49    |  0.5016   |  1.404    |
|  48       | -484.0    |  1.024    |  1.415    |
|  49       | -223.9    |  1.499    |  1.202    |
|  50       | -535.8    |  1.454    |  1.43     |
|  51       | -388.0    |  0.7475   |  1.418    |
|  52       | -367.6    |  0.991    |  1.309    |
|  53       | -28.61    |  0.7869   |  1.156    |
|  54       | -332.7    |  0.541    |  1.215    |
|  55       | -2.519e+0 |  0.6227   |  1.065    |
=================================================
