main.py --acq ei
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -55.23    |  0.917    |  1.22     |
|  2        | -3.648e+0 |  0.5001   |  0.8023   |
|  3        | -4.117e+0 |  0.6468   |  0.5923   |
|  4        | -2.075e+0 |  0.6863   |  0.8456   |
|  5        | -81.39    |  0.8968   |  1.039    |
|  6        | -22.35    |  1.182    |  1.095    |
|  7        | -701.4    |  1.5      |  1.5      |
|  8        | -138.6    |  0.6493   |  1.129    |
|  9        | -24.33    |  0.9051   |  1.211    |
|  10       | -112.3    |  0.5242   |  1.497    |
|  11       | -699.6    |  1.189    |  1.5      |
|  12       | -18.23    |  0.6268   |  1.3      |
|  13       | -1.691e+0 |  1.5      |  0.7636   |
|  14       | -101.5    |  1.5      |  1.133    |
|  15       | -1.17e+05 |  0.6484   |  0.9067   |
|  16       | -597.0    |  0.7849   |  1.499    |
|  17       | -411.3    |  1.327    |  1.315    |
|  18       | -1.047e+0 |  1.5      |  0.5      |
|  19       | -18.78    |  0.6264   |  1.302    |
|  20       | -30.88    |  1.429    |  0.9315   |
|  21       | -767.2    |  0.9926   |  1.5      |
|  22       | -121.5    |  1.128    |  1.295    |
|  23       | -389.1    |  0.7584   |  1.079    |
|  24       | -290.7    |  1.016    |  1.113    |
|  25       | -691.2    |  1.49     |  1.339    |
|  26       | -38.64    |  1.5      |  0.8916   |
|  27       | -217.2    |  0.5      |  1.29     |
|  28       | -315.1    |  1.345    |  1.126    |
|  29       | -350.7    |  0.9614   |  0.988    |
|  30       | -97.48    |  1.209    |  0.8991   |
|  31       | -305.6    |  1.098    |  0.993    |
|  32       | -1.651e+0 |  1.364    |  0.8119   |
|  33       | -580.6    |  1.359    |  1.5      |
|  34       | -114.6    |  0.8557   |  1.371    |
|  35       | -419.2    |  1.281    |  0.9712   |
|  36       | -58.73    |  0.5      |  1.399    |
|  37       | -467.0    |  0.6452   |  1.5      |
|  38       | -291.0    |  1.044    |  1.39     |
|  39       | -549.9    |  1.49     |  1.34     |
|  40       | -687.8    |  1.426    |  1.419    |
|  41       | -46.64    |  0.9823   |  1.033    |
|  42       | -812.9    |  1.231    |  1.4      |
|  43       | -359.2    |  1.233    |  1.215    |
|  44       | -622.7    |  1.46     |  0.8281   |
|  45       | -351.9    |  0.6485   |  1.129    |
|  46       | -29.42    |  1.497    |  1.022    |
|  47       | -77.52    |  0.7566   |  1.294    |
|  48       | -491.1    |  0.6859   |  1.079    |
|  49       | -260.9    |  0.7305   |  1.174    |
|  50       | -296.0    |  1.092    |  1.193    |
|  51       | -353.2    |  0.7256   |  1.408    |
|  52       | -70.15    |  1.316    |  0.8849   |
|  53       | -31.32    |  1.419    |  1.061    |
|  54       | -620.0    |  1.499    |  1.431    |
|  55       | -294.9    |  1.41     |  1.213    |
=================================================
