main.py --acq poi
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -55.23    |  0.917    |  1.22     |
|  2        | -3.648e+0 |  0.5001   |  0.8023   |
|  3        | -4.117e+0 |  0.6468   |  0.5923   |
|  4        | -2.075e+0 |  0.6863   |  0.8456   |
|  5        | -81.39    |  0.8968   |  1.039    |
|  6        | -71.01    |  0.8995   |  1.045    |
|  7        | -32.07    |  0.9151   |  1.222    |
|  8        | -72.07    |  0.9029   |  1.042    |
|  9        | -32.35    |  0.9125   |  1.224    |
|  10       | -82.4     |  0.9126   |  1.224    |
|  11       | -27.82    |  0.9113   |  1.216    |
|  12       | -29.92    |  0.9104   |  1.214    |
|  13       | -26.83    |  0.9104   |  1.214    |
|  14       | -27.16    |  0.9102   |  1.214    |
|  15       | -26.63    |  0.9102   |  1.214    |
|  16       | -26.75    |  0.9102   |  1.214    |
|  17       | -29.88    |  0.9102   |  1.214    |
|  18       | -26.71    |  0.9103   |  1.214    |
|  19       | -29.66    |  0.9103   |  1.214    |
|  20       | -26.18    |  0.9086   |  1.207    |
|  21       | -324.4    |  0.8961   |  1.051    |
|  22       | -83.15    |  0.9078   |  1.033    |
|  23       | -27.46    |  0.9079   |  1.216    |
|  24       | -28.45    |  0.9109   |  1.214    |
|  25       | -25.5     |  0.9138   |  1.21     |
|  26       | -79.49    |  0.9021   |  1.038    |
|  27       | -254.4    |  0.9626   |  1.426    |
|  28       | -911.0    |  0.9752   |  1.476    |
|  29       | -197.9    |  0.9773   |  1.398    |
|  30       | -302.5    |  0.9531   |  1.377    |
|  31       | -30.76    |  0.9116   |  1.215    |
|  32       | -25.29    |  0.9077   |  1.205    |
|  33       | -26.51    |  0.9154   |  1.212    |
|  34       | -28.51    |  0.9116   |  1.218    |
|  35       | -22.9     |  0.9068   |  1.209    |
|  36       | -25.09    |  0.9083   |  1.204    |
|  37       | -41.62    |  0.909    |  1.211    |
|  38       | -25.62    |  0.9111   |  1.212    |
|  39       | -1.088e+0 |  1.122    |  1.5      |
|  40       | -23.49    |  0.9115   |  1.207    |
|  41       | -794.8    |  1.024    |  1.437    |
|  42       | -23.14    |  0.9099   |  1.207    |
|  43       | -843.4    |  1.268    |  1.5      |
|  44       | -820.3    |  1.426    |  1.5      |
|  45       | -24.45    |  0.9096   |  1.21     |
|  46       | -26.12    |  0.9111   |  1.213    |
|  47       | -27.52    |  0.9098   |  1.211    |
|  48       | -701.4    |  1.5      |  1.5      |
|  49       | -514.8    |  1.5      |  1.43     |
|  50       | -698.1    |  1.383    |  1.428    |
|  51       | -623.6    |  1.212    |  1.443    |
|  52       | -619.7    |  1.5      |  1.331    |
|  53       | -539.0    |  1.447    |  1.367    |
|  54       | -37.65    |  0.9141   |  1.21     |
|  55       | -23.83    |  0.9089   |  1.209    |
=================================================
