main.py --acq poi --acq_xi 0.1
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -55.23    |  0.917    |  1.22     |
|  2        | -3.648e+0 |  0.5001   |  0.8023   |
|  3        | -4.117e+0 |  0.6468   |  0.5923   |
|  4        | -2.075e+0 |  0.6863   |  0.8456   |
|  5        | -81.39    |  0.8968   |  1.039    |
|  6        | -70.91    |  0.8995   |  1.045    |
|  7        | -79.17    |  0.9151   |  1.222    |
|  8        | -71.57    |  0.9005   |  1.044    |
|  9        | -258.1    |  0.9053   |  1.038    |
|  10       | -328.0    |  0.8834   |  1.06     |
|  11       | -31.73    |  0.9187   |  1.227    |
|  12       | -80.91    |  0.9202   |  1.232    |
|  13       | -34.94    |  0.9224   |  1.224    |
|  14       | -34.64    |  0.9225   |  1.224    |
|  15       | -35.28    |  0.9225   |  1.224    |
|  16       | -78.32    |  0.9225   |  1.224    |
|  17       | -34.17    |  0.9219   |  1.222    |
|  18       | -33.03    |  0.9259   |  1.228    |
|  19       | -32.24    |  0.9236   |  1.227    |
|  20       | -31.92    |  0.9237   |  1.227    |
|  21       | -323.1    |  0.8956   |  1.048    |
|  22       | -54.13    |  0.9266   |  1.229    |
|  23       | -33.22    |  0.9268   |  1.229    |
|  24       | -80.58    |  0.9268   |  1.229    |
|  25       | -195.8    |  1.001    |  1.354    |
|  26       | -237.5    |  1.027    |  1.397    |
|  27       | -221.6    |  0.9992   |  1.391    |
|  28       | -772.1    |  1.049    |  1.48     |
|  29       | -93.04    |  0.9651   |  1.301    |
|  30       | -80.06    |  0.9498   |  1.264    |
|  31       | -312.1    |  0.9335   |  1.248    |
|  32       | -343.1    |  0.9655   |  1.282    |
|  33       | -372.8    |  0.9627   |  1.319    |
|  34       | -24.14    |  0.9116   |  1.2      |
|  35       | -33.16    |  0.9201   |  1.222    |
|  36       | -29.66    |  0.9174   |  1.211    |
|  37       | -295.1    |  0.9165   |  1.212    |
|  38       | -20.45    |  0.8921   |  1.174    |
|  39       | -15.49    |  0.8952   |  1.178    |
|  40       | -19.9     |  0.8881   |  1.162    |
|  41       | -15.09    |  0.8961   |  1.174    |
|  42       | -252.1    |  0.8962   |  1.173    |
|  43       | -26.59    |  0.8875   |  1.171    |
|  44       | -20.98    |  0.8757   |  1.173    |
|  45       | -248.4    |  0.8826   |  1.169    |
|  46       | -252.1    |  0.8994   |  1.192    |
|  47       | -23.37    |  0.8716   |  1.15     |
|  48       | -235.7    |  0.8762   |  1.152    |
|  49       | -247.2    |  0.8545   |  1.155    |
|  50       | -701.4    |  1.5      |  1.5      |
|  51       | -862.6    |  1.413    |  1.499    |
|  52       | -454.3    |  1.175    |  1.5      |
|  53       | -566.7    |  1.27     |  1.5      |
|  54       | -559.0    |  1.5      |  1.432    |
|  55       | -436.4    |  1.5      |  1.331    |
=================================================
