main.py --acq poi --acq_xi 0.1 --measured_states 0 1 2 3 4
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -314.0    |  0.917    |  1.22     |
|  2        | -234.8    |  0.5001   |  0.8023   |
|  3        | -20.94    |  0.6468   |  0.5923   |
|  4        | -311.8    |  0.6863   |  0.8456   |
|  5        | -18.0     |  0.8968   |  1.039    |
|  6        | -308.1    |  0.6088   |  0.8689   |
|  7        | -21.07    |  0.6462   |  0.5951   |
|  8        | -16.94    |  0.897    |  1.036    |
|  9        | -17.76    |  0.8974   |  1.033    |
|  10       | -160.3    |  0.8951   |  1.035    |
|  11       | -16.87    |  1.388    |  0.9472   |
|  12       | -16.63    |  1.387    |  0.9467   |
|  13       | -17.36    |  0.9024   |  1.031    |
|  14       | -17.51    |  1.053    |  1.202    |
|  15       | -22.39    |  0.6484   |  0.9067   |
|  16       | -18.58    |  1.053    |  1.201    |
|  17       | -336.1    |  0.8982   |  1.033    |
|  18       | -17.37    |  1.051    |  1.201    |
|  19       | -16.56    |  1.41     |  0.9161   |
|  20       | -21.8     |  0.6681   |  1.184    |
|  21       | -21.26    |  0.6481   |  0.9017   |
|  22       | -23.35    |  0.5797   |  1.127    |
|  23       | -18.78    |  0.9007   |  1.032    |
|  24       | -20.59    |  0.7195   |  1.333    |
|  25       | -17.32    |  1.051    |  1.201    |
|  26       | -16.55    |  1.389    |  0.9483   |
|  27       | -18.86    |  0.8963   |  1.04     |
|  28       | -246.3    |  0.5103   |  0.865    |
|  29       | -268.3    |  0.9614   |  0.988    |
|  30       | -319.2    |  0.9944   |  0.5913   |
|  31       | -18.47    |  0.8143   |  0.7145   |
|  32       | -18.76    |  1.38     |  0.6321   |
|  33       | -340.8    |  0.5232   |  0.5276   |
|  34       | -253.0    |  0.6677   |  1.183    |
|  35       | -21.02    |  0.669    |  1.184    |
|  36       | -17.27    |  1.166    |  1.446    |
|  37       | -27.04    |  0.5779   |  1.127    |
|  38       | -26.3     |  0.585    |  1.148    |
|  39       | -243.5    |  1.387    |  0.9469   |
|  40       | -23.1     |  0.9025   |  1.031    |
|  41       | -17.96    |  1.053    |  1.202    |
|  42       | -16.67    |  1.388    |  0.9507   |
|  43       | -16.27    |  1.382    |  1.34     |
|  44       | -17.33    |  1.111    |  1.309    |
|  45       | -26.39    |  0.6464   |  0.595    |
|  46       | -246.5    |  0.5857   |  1.147    |
|  47       | -20.8     |  0.669    |  1.184    |
|  48       | -23.62    |  0.6463   |  0.5911   |
|  49       | -21.19    |  0.6587   |  1.17     |
|  50       | -19.97    |  0.7926   |  1.498    |
|  51       | -16.75    |  1.458    |  0.9      |
|  52       | -258.6    |  0.9022   |  1.032    |
|  53       | -294.1    |  0.6496   |  0.9069   |
|  54       | -264.9    |  0.8999   |  1.031    |
|  55       | -301.7    |  0.694    |  0.6863   |
=================================================
