main.py --acq ucb --acq_xi 0.1 --measured_states 0 1 2 3 4
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -314.0    |  0.917    |  1.22     |
|  2        | -234.8    |  0.5001   |  0.8023   |
|  3        | -20.94    |  0.6468   |  0.5923   |
|  4        | -311.8    |  0.6863   |  0.8456   |
|  5        | -18.0     |  0.8968   |  1.039    |
|  6        | -308.1    |  0.6088   |  0.8689   |
|  7        | -17.4     |  0.9004   |  1.043    |
|  8        | -255.3    |  0.8947   |  1.039    |
|  9        | -23.41    |  0.5861   |  1.259    |
|  10       | -17.15    |  0.8956   |  0.6615   |
|  11       | -16.87    |  1.388    |  0.9472   |
|  12       | -17.23    |  0.9323   |  0.852    |
|  13       | -16.43    |  1.11     |  0.8929   |
|  14       | -17.51    |  1.053    |  1.202    |
|  15       | -22.39    |  0.6484   |  0.9067   |
|  16       | -23.71    |  0.5668   |  1.034    |
|  17       | -299.9    |  0.8392   |  0.7749   |
|  18       | -29.55    |  0.6909   |  1.173    |
|  19       | -16.56    |  1.41     |  0.9161   |
|  20       | -21.8     |  0.6681   |  1.184    |
|  21       | -15.45    |  1.217    |  0.8999   |
|  22       | -23.35    |  0.5797   |  1.127    |
|  23       | -25.86    |  0.511    |  0.8749   |
|  24       | -20.59    |  0.7195   |  1.333    |
|  25       | -17.72    |  1.01     |  1.279    |
|  26       | -16.18    |  1.344    |  1.11     |
|  27       | -16.13    |  1.292    |  1.269    |
|  28       | -246.3    |  0.5103   |  0.865    |
|  29       | -268.3    |  0.9614   |  0.988    |
|  30       | -319.2    |  0.9944   |  0.5913   |
|  31       | -18.47    |  0.8143   |  0.7145   |
|  32       | -18.76    |  1.38     |  0.6321   |
|  33       | -340.8    |  0.5232   |  0.5276   |
|  34       | -27.42    |  0.5623   |  0.8897   |
|  35       | -15.68    |  1.239    |  0.7981   |
|  36       | -17.27    |  1.166    |  1.446    |
|  37       | -21.33    |  0.7224   |  1.381    |
|  38       | -319.7    |  0.5861   |  1.259    |
|  39       | -16.01    |  1.395    |  0.9704   |
|  40       | -322.1    |  0.9322   |  1.365    |
|  41       | -26.71    |  0.5279   |  0.6382   |
|  42       | -27.63    |  1.426    |  0.9566   |
|  43       | -16.27    |  1.382    |  1.34     |
|  44       | -17.33    |  1.111    |  1.309    |
|  45       | -271.2    |  0.5626   |  1.027    |
|  46       | -24.57    |  0.8433   |  1.139    |
|  47       | -262.4    |  1.227    |  0.7415   |
|  48       | -117.5    |  1.251    |  1.359    |
|  49       | -21.19    |  0.6587   |  1.17     |
|  50       | -19.97    |  0.7926   |  1.498    |
|  51       | -16.75    |  1.458    |  0.9      |
|  52       | -26.21    |  0.6313   |  1.364    |
|  53       | -249.7    |  0.8432   |  1.139    |
|  54       | -17.27    |  1.174    |  1.464    |
|  55       | -301.7    |  0.694    |  0.6863   |
=================================================
