main.py --acq ei --acq_kappa 0 --measured_states 0 1 2 3 4
|   iter    |  target   |    lf     |    lr     |
-------------------------------------------------
|  1        | -314.0    |  0.917    |  1.22     |
|  2        | -234.8    |  0.5001   |  0.8023   |
|  3        | -20.94    |  0.6468   |  0.5923   |
|  4        | -311.8    |  0.6863   |  0.8456   |
|  5        | -18.0     |  0.8968   |  1.039    |
|  6        | -308.1    |  0.6088   |  0.8689   |
|  7        | -21.07    |  0.6462   |  0.5951   |
|  8        | -17.17    |  0.9398   |  0.9784   |
|  9        | -25.05    |  0.5465   |  0.5573   |
|  10       | -16.28    |  1.107    |  0.955    |
|  11       | -262.7    |  1.122    |  0.8222   |
|  12       | -16.32    |  1.061    |  1.017    |
|  13       | -15.93    |  1.172    |  1.021    |
|  14       | -17.51    |  1.053    |  1.202    |
|  15       | -22.39    |  0.6484   |  0.9067   |
|  16       | -27.28    |  0.657    |  0.9372   |
|  17       | -16.54    |  1.111    |  1.003    |
|  18       | -178.9    |  0.9565   |  1.028    |
|  19       | -17.72    |  0.8942   |  0.9894   |
|  20       | -17.24    |  0.9183   |  0.9516   |
|  21       | -18.2     |  0.8572   |  1.034    |
|  22       | -16.56    |  1.064    |  0.9739   |
|  23       | -335.7    |  0.5948   |  0.5838   |
|  24       | -20.59    |  0.7195   |  1.333    |
|  25       | -20.3     |  0.6725   |  0.5983   |
|  26       | -26.89    |  0.5215   |  0.5433   |
|  27       | -254.5    |  1.149    |  0.984    |
|  28       | -16.51    |  1.089    |  0.9933   |
|  29       | -268.3    |  0.9614   |  0.988    |
|  30       | -17.29    |  0.9269   |  0.9755   |
|  31       | -18.47    |  0.8143   |  0.7145   |
|  32       | -18.11    |  0.8808   |  1.017    |
|  33       | -16.33    |  1.089    |  0.9623   |
|  34       | -16.4     |  1.094    |  1.022    |
|  35       | -16.3     |  1.183    |  1.042    |
|  36       | -17.27    |  1.166    |  1.446    |
|  37       | -315.6    |  0.8582   |  1.035    |
|  38       | -26.3     |  0.585    |  1.148    |
|  39       | -16.01    |  1.395    |  0.9704   |
|  40       | -322.1    |  0.9322   |  1.365    |
|  41       | -26.71    |  0.5279   |  0.6382   |
|  42       | -27.63    |  1.426    |  0.9566   |
|  43       | -16.27    |  1.382    |  1.34     |
|  44       | -17.33    |  1.111    |  1.309    |
|  45       | -26.39    |  0.6464   |  0.595    |
|  46       | -314.2    |  0.8801   |  1.017    |
|  47       | -313.5    |  0.5463   |  0.5563   |
|  48       | -16.48    |  1.107    |  0.9538   |
|  49       | -21.19    |  0.6587   |  1.17     |
|  50       | -19.97    |  0.7926   |  1.498    |
|  51       | -16.75    |  1.458    |  0.9      |
|  52       | -258.1    |  0.6474   |  0.5928   |
|  53       | -16.51    |  1.108    |  0.9542   |
|  54       | -317.1    |  0.9395   |  0.98     |
|  55       | -17.84    |  0.9404   |  0.9777   |
=================================================
